"","Denominación_social","Domicilio_social","Latitud","Longitud","Fecha_constitución","CNAE","Objeto_social","Tamaño_empresa_por_facturación","Índice_crec_interanual_ventas","Tamaño_empresa_por_empleados","Empleo_fijo","Empleo_temporal","Teléfono","Estado","URL","Metatag_descripción","RRSS","Cotización_en_bolsa","Actividad_internacional","Capital_social","Empleados","Empleados_año","Resultado","Municipio"
"548","Flores Torres Sara","-",NA,NA,"-","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"549","Ruiz Torres Oscar","-",NA,NA,"-","4932 - Transporte por taxi","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"550","Echevarria Laucirica Eva Maria","-",NA,NA,"-","4761 - Comercio al por menor de libros en establecimientos especializados","se dedica a la venta al menor de periodicos, libros, artículos de libreria, etc.","-","-","Menos de 5","-","-","-","Activa","-","-","-","-","No constan","-","3 (año 2012)","2012","-","Durango"
"551","Achotegui Loizate Maria Divina","-",NA,NA,"-","4781 - Comercio al por menor de productos alimenticios, bebidas y tabaco en puestos de venta y mercadillos","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"552","Salceda Mantecon Maria Jesus","-",NA,NA,"-","7739 - Alquiler de otra maquinaria, equipos y bienes tangibles n.c.o.p.","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"553","Cuesta Cuesta Ismael","-",NA,NA,"-","4332 - Instalación de carpintería","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"554","Acevedo Gulin Gracia","-",NA,NA,"-","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"555","Anderez Castillo Felix Carlos","-",NA,NA,"-","4332 - Instalación de carpintería","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"556","Gallastegui Larrabe Maria Pilar","-",NA,NA,"-","4771 - Comercio al por menor de prendas de vestir en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"557","Mirena Irastorza Madariaga Josu","-",NA,NA,"-","4638 - Comercio al por mayor de pescados, mariscos y otros productos alimenticios","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"558","Iraurgui Izurza Paule","-",NA,NA,"-","4771 - Comercio al por menor de prendas de vestir en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"559","Larrinaga Casado Francisco Javier","-",NA,NA,"-","4932 - Transporte por taxi","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"560","Leache Anton Eneko","-",NA,NA,"-","4321 - Instalaciones eléctricas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"561","Duran Cebrian Milagros","-",NA,NA,"-","8551 - Educación deportiva y recreativa","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"562","Zamalloa Fernandez Eneko","-",NA,NA,"-","4721 - Comercio al por menor de frutas y hortalizas en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
